subregion_name,year,amounttotal,amountmdb
South America,2017,84468540.0153326,52792837.5095829
South America,2019,332430844.440591,242839122.24985898
South-eastern Asia,2001,111086118.222892,62982905.7134789
South-eastern Asia,2004,392156124.062472,353241959.410571
South-eastern Asia,2005,1126466.3537444,0
South-eastern Asia,2006,135625227.67354307,70050523.00093424
South-eastern Asia,2007,1120174698.512002,627610388.1301014
South-eastern Asia,2008,2258819452.4990005,295940461.0799535
South-eastern Asia,2009,222490961.78436995,161563205.86114925
South-eastern Asia,2010,1750684898.263673,1059906179.084377
South-eastern Asia,2011,177189772.04948,158780445.0833
South-eastern Asia,2012,288295773.84273046,239598305.88571775
South-eastern Asia,2013,10318802.42319312,0
South-eastern Asia,2014,766694306.74231565,560835846.7971028
South-eastern Asia,2015,1008253799.270376,862642011.6137929
South-eastern Asia,2016,144498586.500542,132960266.533708
South-eastern Asia,2017,200929539.561473,158378512.528749
South-eastern Asia,2018,710273539.4231277,185522669.3021096
South-eastern Asia,2019,364440903.826703,301422997.540002
South-eastern Asia,2020,1400000,0
Southern Africa,2004,20553255.978117,18497930.3803053
Southern Africa,2009,38980808.55222657,30777487.291402876
Southern Africa,2014,2225748.40169007,2225748.40169007
Southern Africa,2019,86858415.4120309,78962195.829119
Southern Asia,2000,130607958.091367,78154359.2721642
Southern Asia,2002,90128875.49687281,72121805.30460964
Southern Asia,2003,112552081.5402039,112552081.5402039
Southern Asia,2004,907042590.6556084,653593540.1041206
Southern Asia,2005,362589640.45231485,185535634.7343716
Southern Asia,2006,831927424.248688,128383861.7667728
Southern Asia,2007,403116099.5358323,313056255.6543949
Southern Asia,2008,634098026.8072441,234405905.6443843
Southern Asia,2009,246485676.47227907,200740096.73545054
Southern Asia,2010,380046986.05018765,324737212.3152132
Southern Asia,2011,718308926.561625,271192397.8705353
Southern Asia,2012,94576795.4072534,64028152.3138498
Southern Asia,2013,978997490.8826197,500830763.60631484
Southern Asia,2014,53705771.87896233,47222815.59922193
Southern Asia,2016,2058565683.802497,1051388968.9405121
Southern Asia,2018,514310066.56529295,371045338.60422003
Southern Asia,2019,17361559.7239665,11135694.2835937
Southern Asia,2020,200000000,50000000
Southern Europe,2000,30901031.28145568,21943339.334107652
Southern Europe,2007,51302281.1299666,12482306.8442741
Southern Europe,2009,30159269.3412636,30159269.3412636
Southern Europe,2020,31590000,30500000
Western Africa,2001,629741357.567771,269369220.096009
Western Africa,2002,31877026.1723929,27945960.9927465
Western Africa,2003,306959867.060567,19704255.2724964
Western Africa,2004,702400671.966822,531849753.86040723
Western Africa,2005,610279712.8227012,569859449.5412842
Western Africa,2006,298530993.7662768,115609667.5209789
Western Africa,2007,290234019.1076476,236379415.904649
Western Africa,2008,295894689.586148,17929547.3279458
Western Africa,2009,43212201.112162486,42222977.07776904
Western Africa,2012,126621222.15844159,120984941.14489849
Western Africa,2013,492291896.76410526,173294799.2444101
